Epoch,Training Loss,Validation Loss,Learning Rate
108,0.7971,0.8738,0.0005522642316338098
109,0.7964,0.8743,0.0004477357683661655
110,0.796,0.8746,0.00034549150281252037
111,0.7957,0.8725,0.0002499999999999957
112,0.7954,0.8728,0.00016543469682056805
113,0.7954,0.8731,9.54915028125246e-05
114,0.7954,0.8727,4.322727117869874e-05
115,0.7955,0.8726,1.0926199633096932e-05
116,0.7956,0.8726,0.0
117,0.7955,0.8726,1.0926199633097156e-05
118,0.7954,0.8726,4.322727117869936e-05
119,0.7952,0.8724,9.549150281252568e-05
120,0.795,0.8725,0.00016543469682056436
121,0.7948,0.8727,0.00024999999999999177
122,0.7946,0.873,0.0003454915028125164
123,0.7945,0.8732,0.0004477357683661617
124,0.7946,0.8735,0.0005522642316338137
125,0.7954,0.8742,0.0006545084971874592
126,0.7974,0.8764,0.0007499999999999843
127,0.7997,0.8743,0.0008345653031794122
128,0.7999,0.8742,0.0009045084971874558
129,0.7995,0.8738,0.0009567727288212787
130,0.7996,0.8752,0.0009890738003668833
131,0.7997,0.8737,0.0009999999999999799
132,0.8003,0.8763,0.000989073800366884
133,0.8006,0.8747,0.0009567727288212799
134,0.8002,0.8795,0.0009045084971874573
135,0.7996,0.8741,0.000834565303179409
136,0.7985,0.8736,0.0007499999999999867
137,0.7975,0.8727,0.0006545084971874619
138,0.7963,0.8732,0.0005522642316338165
139,0.7955,0.8735,0.0004477357683661645
140,0.7949,0.8731,0.0003454915028125258
141,0.7947,0.8727,0.00024999999999999415
142,0.7945,0.8725,0.00016543469682057168
143,0.7945,0.8728,9.54915028125273e-05
144,0.7946,0.8724,4.322727117869759e-05
145,0.7947,0.8721,1.092619963309777e-05
146,0.7948,0.8722,0.0
147,0.7947,0.8722,1.0926199633097156e-05
148,0.7947,0.8722,4.322727117870071e-05
149,0.7945,0.8721,9.549150281252981e-05
150,0.7942,0.8722,0.00016543469682057783
